creation date,language,restricted,complete,word_count,tags
2/26/2021,en,FALSE,TRUE,77855,10+767851+54866631+1046623+2966273+1217764+54866634+54866637+1012674+6418184+813700+966790+966789+12981736+12981742+1046624+1046886+1046887+1217758+2580093+2620098+4665564+1106525+496037+779641+54866640+54866643+54866646+22+14+54866895+54866898+54866901+54866904
2/26/2021,en,FALSE,TRUE,6500,10+747342+50122049+50459938+50507774+54866937+48634669+49828642+49876985+2138543+46589095+41302489+7739350+2379+211312+18567+143795+49897186+7955+47715919+29632040+424529+69302+1002721+54866940+53225+127089+21+16+736307
2/26/2021,en,FALSE,TRUE,9400,11+10778845+32983444+19350488+54867087+10773353+21612918+19346596+10793227+10773355+19671762+10843210+10793308+21732708+10738939+10801405+10762936+10801402+33342172+34713830+54867090+20091843+39407410+21096363+18015429+24893+31378753+206640+206641+35890589+54867093+54867096+110+503626+25917+58036+643798+19543626+26507918+29575709+27176939+21+16+22+23+19849806+21830433
2/26/2021,en,FALSE,TRUE,12504,9+44183653+48105184+54867165+54836280+44199976+44199979+44277529+44199952+23970+116+18
2/26/2021,en,FALSE,TRUE,9894,12+414093+1486747+14847698+1876919+80648+579450+13631+476425+68440+22+14
2/26/2021,en,FALSE,TRUE,11726,11+6410522+6906241+6906223+6644851+6642631+6483458+47224153+6410528+31724947+1428058+23+16+54867576+5848526+472954+2099+261825+37791+10310+8930+8258+8657+292210+1056345
2/26/2021,en,FALSE,TRUE,37342,12+223664+43735+6166+261+6517+854+254+551671+6524+255+13182367+260+2927+277028+432992+137+968+54867765+20140617+90616+176+1048133+8930+1275+237+274876+1252+239322+54867768+66494+54867771+54867774+54867777+1833+54867780+950161+54867783+54867786+139298+54867789+493491+503593+54867792+46675+5212+54867795+22+23+2246+17+18
2/26/2021,en,FALSE,TRUE,7288,12+28410929+49281637+52344240+29605430+47932807+29605391+37976338+11175+50999052+121664+43019+571621+54867807+54867810+3012+54867813+687908+23+14+37976341+279987
2/26/2021,en,FALSE,TRUE,12303,10+250093+5556174+11051578+15653442+9964759+28136+460125+717090+22+14
2/26/2021,en,FALSE,TRUE,10311,10+254648+218280+51133245+45832336+49367056+38746603+45461170+28596122+38496004+45838954+45914443+34735271+821110+176+67438+53765+1808+1395328+2379+54867996+716499+21+16
2/26/2021,en,FALSE,TRUE,7526,10+250093+5556174+11051578+15653442+28136+13930+3084+424069+20950989+22+14
2/26/2021,en,FALSE,TRUE,5859,11+2133615+3571628+3241514+3241472+3241469+1390+88233+418427+98700+1022+292210+149525+2694+612497+15016+68440+33310+105912+7002+234149+261834+4847+932464+18154+2246+16
2/26/2021,en,FALSE,TRUE,7013,11+33055879+15752346+29368307+29143112+22406148+18325647+27565369+27565381+6719+54829677+1772+54829680+295254+23+16
2/26/2021,en,FALSE,TRUE,6224,11+18920532+42088717+10178390+18348948+73112+2581+176+61+880167+131790+418427+23+16+1614+93374+18418+63846+49223+103132
2/26/2021,en,FALSE,TRUE,7461,13+6048501+7574276+7782136+7689124+7598075+5524551+7535105+54868425+2026+542237+579599+57611+10546+1064802+54868428+54868431+54868434+278603+54868437+54868440+426666+313286+54868443+473023+4302899+118+26516+959100+54868446+40169683+33310+22+14+54875301
2/26/2021,en,FALSE,TRUE,7096,9+232768+217323+227588+207014+218633+217331+153075+138066+27516+245909+214044+21+16
2/26/2021,en,FALSE,TRUE,43558,11+18664431+44512552+13016638+44411320+43137934+44411323+43137937+44501797+43137928+206981+72460+8075068+44930032+44731678+54868593+54868596+54868599+46604635+46604632+44605234+54868602+23+14+18
2/26/2021,en,FALSE,TRUE,6113,10+758208+1408234+912011+912012+10307704+31434+40081237+47254216+2685+54869241+54869244+18154+460125+6262+31768+54869247+54869250+54869253+23+16+43700941+10653726
2/26/2021,en,FALSE,TRUE,7351,12+32663+105122+50429851+36033284+136887+294400+294399+136884+176+460125+192+979334+61+425314+21+16+35632865+12108587+274399+257865+7669523+257866+137254+267696+132435+15115968
2/26/2021,en,FALSE,TRUE,11678,11+134891+51602310+670579+54205932+176950+176956+669320+52288308+2796954+176955+51299562+11175+68440+2379+110+319152+22+16+54874812
2/26/2021,en,FALSE,TRUE,6334,13+711325+42187708+18526284+32816572+507502+118+397790+313286+116+16+234149
